quantification_cDNA;coverage_depth;reads;coverage_genome
21.8;735;60456;98.679
9.82;370;33444;97.82
13.7;444;37715;98.679
7.06;116;10048;90.663
10.3;157;13836;94.121
3.24;34.5;2841;73.705
18.5;328.2;27230;98.679
2.36;24;1987;48.48
18.4;299;24582;97.95
7.04;112;9402;89.359
4.2;80.1;6722;98.679
19;507;61449;74.31
18.3;344;55833;55.429
4.4;243;6785;98.679
21;196;96815;97.826
11.4;537;54547;95.087
2.2;257;3185;56.764
13.7;210;25076;98.679
3.38;33;10050;98.679
16.5;748;42609;98.679
7.38;679;29617;70.685
7.44;79.5;20746;98.679
4.06;1206;16831;75.919
16.9;648;44381;91.536
8.62;38.2;21727;96.964
9.24;299;17889;97.719
3.1;115;2761;97.82
7.68;140;11771;78.263
8.88;307;26358;98.679
9.26;339;29077;93.328
12.9;300;25263;98.679
9.1;325;27949;92.927
14;418;34305;90.626
46;231;18142;95.07
9.98;36.5;2914;64.08
12.2;81.9;6842;83.18
14.5;94.45;8118;86.65
4.04;4;337;0
21.4;71.3;5599;79.29
14.7;74.5;6091;84.92
5.3;5;431;0
28.2;355;28126;96.1
14.7;83;6567;81.21
60.2;407;31571;98.68
64.4;423;32915;99.6
58;281;21761;97.95
55;724;55994;98.68
17.4;485;38864;97.02
21.4;111;9171;87.96
38.4;324;25467;97.02
9.84;326;26216;97.95
33;488;38398;98.68
42.2;515;40288;98.68
55;622;47961;98.68
12.4;150;12098;93.34
68.6;372;28790;96.38
29.6;371;29092;95.99
65.6;488;37786;97.1
66;452;35021;98.68
30.4;423;33277;97.69
58.4;618;47510;97.84
62.4;528;40885;97.79
74.2;745;57322;98.68
52.8;269;20929;96.96
51.8;516;39774;98.68
6.42;99;7817;82.9
4.46;1;92;0
78.4;467;36214;98.68
4.24;5;402;0
28.6;161;12945;90.7
19.2;384;30448;97.82
58.2;452;34949;96.96
12.6;296;24090;96.93
17.9;206;16424;94.45
28;48;3769;66.23
4.86;7;586;0
4.76;4;366;0
18.2;172;13652;93.49
6.6;34;2690;58.31
5.08;1;93;0
25.6;658;50862;97.83
24.4;362;29146;98.68
3.54;2;151;0
10.8;111;8706;84.26
26.8;269;21322;96.83
4.74;8;663;4.36
20.2;242;19585;96.1
27;614;47623;97.95
34.2;787;60929;97.82
36.8;665;51573;96.32
17.5;702;55413;82.12
20.2;715;56536;79.93
32.6;426;33543;91.54
27.4;330;25963;93.05
23.8;555;43721;94.88
40.4;965;74748;95.81
42.2;869;66713;97.69
12.6;233;19233;83.71
54.4;210;16385;93.328
52;337;26245;97.95
55.8;254;19900;95.131
58.4;247;19336;95.198
43.4;100;7980;88.714
46;281;21886;96.957
32.4;166.0684881;13413;96.02
60.6;133.0955757;10188;92.506
32.2;181.0836371;15957;96.007
42.2;169.0075912;14538;92.606
14.7;71.32043608;6445;82.162
36.2;4;1048;16.072
51;201.1743638;17130;93.064
39;49.59034211;7471;62.432
56;185.865766;15789;92.235
54.2;193.5000836;16195;92.155
51;146.7594221;14092;89.576
39.6;195.7968097;19427;92.208
62.4;352.5799084;30156;95.004
48.8;90.12470321;8609;87.637
53.2;79.24917232;8056;87.459
48.6;166.7540046;16152;91.342
28.6;1.019529813;1432;19.878
36.4;48.07661439;6202;70.488
53.8;172.7818279;13547;93.338
38;139.92576;11464;92.512
48.8;335.7018359;25747;96.883
32.4;114.9130522;11442;89.636
52.2;461.7801558;35157;96.826
43.2;566.2481356;43824;98.679
54.2;369.8541283;29625;97.686
72.6;566.9847841;49469;97.82
81;606.1493161;51889;95.833
60.4;202.3864161;15722;95.893
67;568.554125;46015;95.84
35.2;72.16085343;8819;66.569
42.2;28.57054476;4543;50.791
40.6;389.4245059;32900;95.82
49.4;593.8167074;44617;97.82
50.2;502.7471491;41833;97.82
57.4;504.1144367;37454;97.82
51.2;277.287931;20329;96.034
58.4;553.017122;45573;97.82
50.6;249.6626425;20661;94.338
48.2;195.4383507;16960;94.455
67;388.5917132;30199;96.816
70.2;449.0161522;34657;97.686
71.2;407.0913621;30323;96.826
56.2;311.5648263;25884;96.034
60;745.7099288;57774;98.679
34.8;93.55014547;8619;86.944
56.6;220.010835;18407;94.716
12.8;54.21225295;7150;72.973
71.4;385.1055078;30421;96.823
52.2;267.4382838;23630;95.305
29.8;99.61425275;8623;88.871
47.4;230.8681403;18734;94.305
13.7;30.41189847;3131;62.261
45.4;277.0824666;22944;93.629
46.6;82.9408755;8140;86.242
13.1;26.54335685;2782;59.509
22.8;52.55399124;5428;76.347
20.8;98.97234391;9221;88.038
32.6;140.0036786;12303;91.71
27;133.0004347;11524;91.686
13.1;40.23506003;4117;71.528
41;123.1493496;11421;89.79
36.4;212.5524864;19628;93.338
44.4;308.6393673;23426;96.034
37;303.5681035;25477;96.097
13.3;31.59967227;3481;62.99
28.6;236.6151557;19344;96.78
27.8;126.8590108;12006;91.606
31.8;123.2531184;11298;91.673
34;98.53506337;8757;89.927
17.2;67.79777949;6881;81.139
39.8;156.5076748;12771;92.506
37.4;150.8575059;13092;93.506
36.2;262.1934923;21179;95.305
40.2;131.2944855;10790;90.827
22.8;30.28033977;4313;59.138
11.7;1.013309701;2567;36.873
38;163.937732;14819;93.512
35;138.3576564;12618;89.927
36.6;105.4447714;9929;84.955
19.9;40.1597833;4379;70.786
15.1;85.97565462;9493;76.588
13.2;48.79453567;5754;71.732
